Ctrl. Type,No. rules,Memb. Func,Ref. Func,$factor1$,$factor2$,SSE
mamdani,25,Gaussian,square,0.60,7.125,13.967485
mamdani,25,Gaussian,square,0.60,2.00,11.402784
mamdani,25,Gaussian,square,0.60,0.50,25.857485
mamdani,25,Gaussian,square,0.60,3.00,9.670112
mamdani,25,Gaussian,square,0.60,5.00,8.752938
mamdani,25,Gaussian,square,0.60,6.00,8.467538
mamdani,25,Gaussian,square,0.60,2.00,11.701809
mamdani,9,Gaussian,square,0.50,15.00,10.003034
mamdani,9,Gaussian,sawtooth,0.50,15.00,6.440346
mamdani,9,Gaussian,sawtooth,0.50,15.00,37.125619
sugeno,25,Gaussian,square,0.60,2.00,10.642364
sugeno,25,Gaussian,square,0.60,4.00,8.777417
sugeno,25,Gaussian,sin,0.60,4.00,1.576537
sugeno,25,Gaussian,sin,0.60,2.00,1.987883
mandani,25,Gaussian,sin,0.60,2.00,2.340998
mandani,25,Gaussian,sin,0.60,4.00,1.652202
mandani,9,Gaussian,square,0.60,4.00,13.158141
mandani,9,Gaussian,square,0.65,6.00,10.967875
mandani,9,Gaussian,sin,0.65,6.00,9.913078
mandani,9,Gaussian,sin,0.65,8.00,8.422704
mandani,9,Gaussian,sin,0.65,10.00,7.395736
mandani,9,Gaussian,sin,1.00,7.00,4.873267
sugeno,9,Gaussian,sin,1.00,4.00,1.560859
sugeno,9,Gaussian,sin,1.00,3.00,1.668104
sugeno,9,Gaussian,sin,0.90,4.00,1.581950
sugeno,9,Gaussian,square,0.70,4.00,8.914960
sugeno,9,Gaussian,square,0.60,3.00,9.873211
sugeno,9,Gaussian,square,0.80,4.00,8.906654
mandani,25,Gaussian,square,0.60,6.00,8.488450
sugeno,25,Triangular,sin,0.60,4.00,5.647989
sugeno,25,Triangular,sin,0.60,2.00,1.906491
sugeno,25,Triangular,square,0.60,6.00,73.505326
sugeno,25,Triangular,square,0.60,2.00,10.498060
sugeno,25,Triangular,sawtooth,0.60,2.00,10.724236
mandani,25,Triangular,sawtooth,0.60,2.00,11.135762
sugeno,49,Gaussian,square,0.60,2.00,10.418216
sugeno,49,Gaussian,square,0.60,3.00,9.053528
sugeno,49,Gaussian,square,0.60,4.00,8.818157
mamdani,49,Gaussian,square,0.60,2.00,11.106783
mamdani,49,Gaussian,sawtooth,0.60,2.00,10.846574
mamdani,49,Gaussian,sin,0.60,2.00,1.898087
sugeno,49,Triangular,square,0.60,2.00,10.421963
sugeno,49,Triangular,square,0.60,1.50,11.744757
mamdani,49,Triangular,sin,0.60,2.00,1.882157
mamdani,49,Triangular,square,0.60,2.00,10.622498
mamdani,49,Triangular,sawtooth,0.60,2.00,10.725070
sugeno,9,Triangular,square,0.60,2.00,25.984022
mamdani,9,Triangular,sawtooth,0.60,1.00,48.977624
mamdani,9,Triangular,sin,0.60,1.00,44.708761
mamdani,9,Triangular,square,0.60,1.00,54.292702